已婚,yĭhūn,Vs
以,yĭ,Conj
以便,yĭbiàn ,Conj
以及,yĭjí ,Conj
以往,yĭwăng ,N
一般而言,yìbānéryán ,Conj
一口氣,yìkŏuqì ,Adv
一旁,yìpáng ,N
一齊,yìqí ,Adv
一天到晚,yìtiāndàowăn ,Adv
易,yì ,Vs
意識,yìshì ,N
意外,yìwài ,Vs
意願,yìyuàn,N
意志,yìzhì ,N
億,yì ,N
義務,yìwù ,N
議會,yìhuì ,N
因而,yīnér ,Conj
因素,yīnsù ,N
銀,yín ,N
引發,yĭnfā ,V
飲,yĭn ,V
飲食,yĭnshí ,N
印,yìn ,V
印刷,yìnshuā ,Vi
印象,yìnxiàng ,N
印章,yìnzhāng ,N
應當,yīngdāng ,Adv
嬰兒,yīngér ,N
英雄,yīngxióng ,N
贏得,yíngdé ,Vpt
迎接,yíngjiē ,V
營養,yíngyăng ,Vs
營業,yíngyè ,Vi
影本,yĭngběn ,N
影印,yĭngyìn ,V
影子,yĭngzi ,N
硬,yìng ,Vs
應付,yìngfù ,V
應邀,yìngyāo ,Vi
應用,yìngyòng ,V
擁抱,yŏngbào ,V
擁護,yŏnghù ,V
擁擠,yŏngjĭ ,Vs
勇氣,yŏngqì ,N
用不著,yòngbùzháo,Adv
用處,yòngchù ,N
用得著,yòngdezháo,Vs
用具,yòngjù ,N
用力,yònglì ,Vs-sep
用心,yòngxīn ,Vs-sep
憂鬱,yōuyù ,Vs
優惠,yōuhuì ,Vs
優良,yōuliáng ,Vs
優美,yōuměi ,Vs
優越,yōuyuè ,Vs
由,yóu ,Prep
油,yóu ,Vs
油膩,yóunì ,Vs
游,yóu ,Vi
郵差,yóuchāi ,N
郵件,yóujiàn ,N
遊戲,yóuxì ,N
遊戲,yóuxì ,Vi
遊行,yóuxíng ,Vi
猶豫,yóuyù ,Vs
友好,yŏuhăo ,Vs
有關,yŏuguān ,Prep
有關,yŏuguān ,Vs
有力,yŏulì ,Vs
有利,yŏulì ,Vs
有些,yŏuxiē ,Adv
有些,yŏuxiē ,Det
娛樂,yúlè ,N
語調,yŭdiào ,N
語氣,yŭqì ,N
語音,yŭyīn ,N
與其,yŭqí ,Conj
遇,yù ,Vst
遇見,yùjiàn ,Vpt
預報,yùbào ,N
預定,yùdìng ,V
預訂,yùdìng ,V
預計,yùjì ,Vaux
預算,yùsuàn ,N
預先,yùxiān ,Adv
冤枉,yuānwăng ,Vs
元旦,yuándàn ,N
原來,yuánlái ,Vs-attr
原理,yuánlĭ ,N
原料,yuánliào ,N
原始,yuánshĭ ,Vs
原先,yuánxiān ,Adv
原則,yuánzé ,N
原則上,yuánzéshàng ,Adv
原子筆,yuánzĭbĭ ,N
圓滿,yuánmăn ,Vs
圓形,yuánxíng ,N
緣故,yuángù ,N
遠大,yuăndà ,Vs
願,yuàn ,Vst
月份,yuèfèn ,N
月光,yuèguāng ,N
月球,yuèqiú ,N
暈,yūn ,Vs
允許,yŭnxŭ ,V
運輸,yùnshū ,V
運送,yùnsòng ,V
運用,yùnyòng ,V
運轉,yùnzhuăn ,Vi
砸,zá ,V
雜,zá ,Vs
災害,zāihài ,N
災難,zāinàn ,N
在,zài,Vst
在乎,zàihū ,Vst
再度,zàidù ,Adv
再說,zàishuō ,Conj
載,zài ,V
咱們,zánmen ,N
贊成,zànchéng ,Vst
贊同,zàntóng ,Vst
讚美,zànměi ,V
葬禮,zànglĭ,N
糟,zāo ,Vs
糟糕,zāogāo ,Vs
遭到,zāodào ,Vpt
遭受,zāoshòu ,Vst
遭遇,zāoyù ,N
早晨,zăochén ,N
早點,zăodiăn ,Adv
早點,zăodiăn ,N
早晚,zǎowǎn ,Adv
早已,zăoyĭ ,Adv
造,zào ,V
造句,zàojù ,V-sep
則,zé ,Adv
則,zé ,M
怎,zěn ,Adv
增長,zēngzhăng ,Vst
贈品,zèngpĭn ,N
贈送,zèngsòng ,V
窄,zhăi ,Vs
展出,zhănchū ,V
展開,zhănkāi ,V
展覽,zhănlăn ,N
展覽,zhănlăn ,V
展示,zhănshì ,V
占/佔,zhàn ,V
占/佔,zhàn ,Vst
占/佔有,zhànyŏu ,Vst
站住,zhànzhù ,Vi
戰場,zhànchăng ,N
張,zhāng ,V
章,zhāng ,M
長,zhǎng ,Vst
長輩,zhǎngbèi,N
漲,zhăng ,Vp
漲價,zhăngjià ,Vp-sep
掌聲,zhăngshēng ,N
帳單,zhàngdān ,N
丈夫,zhàngfū ,N
招呼,zhāohū ,V
招手,zhāoshŏu ,V-sep
照,zhào ,Adv
照常,zhàocháng ,Vs
召開,zhàokāi ,V
折,zhé ,V
折合,zhéhé ,Vst
折扣,zhékòu ,N
折磨,zhémó ,V
者,zhě ,N
針,zhēn ,N
針對,zhēnduì ,Prep
偵探,zhēntàn ,N
珍惜,zhēnxí ,Vs
珍珠,zhēnzhū ,N
真心,zhēnxīn ,N
枕頭,zhěntou ,N
陣,zhèn ,M
陣子,zhènzi ,N
震動,zhèndòng ,Vi
爭,zhēng ,V
爭論,zhēnglùn ,V
爭取,zhēngqŭ ,V
睜,zhēng ,V
徵求,zhēngqiú ,V
正月,zhēngyuè ,N
整,zhěng ,N
整,zhěng ,Vs
整潔,zhěngjié ,Vs
整數,zhěngshù ,N
正,zhèng ,Vs
正方形,zhèngfāngxíng ,N
正規,zhèngguī ,Vs-attr
正好,zhènghăo ,Adv
正好,zhènghăo ,Vs
正經,zhèngjīng ,Vs
正面,zhèngmiàn ,N
政策,zhèngcè ,N
政黨,zhèngdăng ,N
政府,zhèngfŭ ,N
證件,zhèngjiàn ,N
證據,zhèngjù ,N
證明,zhèngmíng ,N
證實,zhèngshí ,Vpt
症狀,zhèngzhuàng ,N
之,zhī ,N
之,zhī ,Ptc
之後,zhīhòu ,N
之間,zhījiān ,N
之類,zhīlèi ,N
之前,zhīqián ,N
支,zhī,M
支持,zhīchí ,V
支出,zhīchū ,Vpt
支票,zhīpiào ,N
支援,zhīyuán ,V
直,zhí ,Adv
直接,zhíjiē ,Vs
直線,zhíxiàn ,Adv
值,zhí ,Vst
擲,zhí ,V
職位,zhíwèi ,N
執行,zhíxíng ,V
止,zhǐ ,Vs
只,zhĭ,M
只是,zhĭshì ,Adv
指,zhĭ ,V
指出,zhĭchū ,Vpt
指導,zhĭdăo ,V
指定,zhĭdìng ,V
指示,zhĭshì ,N
指示,zhĭshì ,V
指責,zhǐzé ,V
紙張,zhĭzhāng ,N
治,zhì ,V
至,zhì ,V
制定,zhìdìng ,V
制止,zhìzhĭ,V
志氣,zhìqì ,N
志願,zhìyuàn ,N
秩序,zhìxù ,N
製造,zhìzào ,V
製作,zhìzuò ,V
中,zhōng ,Vs-attr
中級,zhōngjí ,N
中年,zhōngnián ,N
中途,zhōngtú ,N
中央,zhōngyāng ,N
中藥,zhōngyào ,N
腫,zhŏng ,Vs
種類,zhŏnglèi ,N
種子,zhŏngzĭ ,N
種族,zhŏngzú ,N
中,zhòng ,Vp
中毒,zhòngdú ,Vp-sep
重,zhòng ,Vs
重大,zhòngdà ,Vs
重量,zhòngliàng ,N
重傷,zhòngshāng ,N
重傷,zhòngshāng ,Vs
重心,zhòngxīn ,N
州,zhōu ,N
周/週,zhōu ,M
周到,zhōudào ,Vs
粥,zhōu ,N
竹(子),zhú(zi),N
逐漸,zhújiàn ,Adv
主辦,zhŭbàn ,V
主持,zhŭchí ,V
主觀,zhŭguān ,Vs
主角/角,zhŭjiăo/jué,N
主席,zhŭxí ,N
主張,zhŭzhāng ,N
主張,zhŭzhāng ,V
祝賀,zhùhè ,V
住院,zhùyuàn ,V-sep
住宅,zhùzhái ,N
住址,zhùzhĭ,N
注射,zhùshè ,V
註冊,zhùcè ,V-sep
專家,zhuānjiā ,N
專利,zhuānlì ,N
專門,zhuānmén ,Vs
專人,zhuānrén ,N
專業,zhuānyè ,N
轉,zhuăn ,V
轉變,zhuănbiàn ,Vpt
轉播,zhuănbò ,V
轉達,zhuăndá ,V
轉告,zhuăngào ,V
轉機,zhuănjī ,Vi
轉身,zhuănshēn ,Vi
轉向,zhuănxiàng ,V
轉,zhuàn ,Vp
賺,zhuàn ,V
裝飾,zhuāngshì ,V
壯,zhuàng ,Vs
撞,zhuàng ,V
狀況,zhuàngkuàng ,N
追,zhuī ,V
准,zhŭn ,V
准考證/証,zhŭnkăozhèng ,N
準,zhŭn ,Vs
準確,zhŭnquè ,Vs
捉,zhuō ,V
桌,zhuō ,M
資本,zīběn ,N
資格,zīgé ,N
資金,zījīn ,N
資訊,zīxùn ,N
紫,zĭ ,Vs-attr
子女,zĭnǚ ,N
字幕,zìmù ,N
字母,zìmŭ ,N
自來水,zìláishuĭ,N
自然,zìrán ,N
自私,zìsī ,Vs
自我,zìwǒ ,N
自信,zìxìn ,Vs
自願,zìyuàn ,Vs
自主,zìzhŭ ,Vs
總,zǒng ,Adv
總共,zǒnggòng ,Adv
總理,zǒnglĭ ,N
綜合,zònghé ,V
綜合,zònghé ,Vs-attr
走道,zǒudào ,N
走私,zǒusī ,V
足,zú,Vs
足以,zúyĭ ,Vaux
組,zŭ ,V
組織,zŭzhī ,N
阻礙,zŭài ,V
阻止,zŭzhĭ,V
祖國,zŭguó ,N
鑽,zuān ,V
鑽石,zuànshí,N
罪,zuì ,N
最少,zuìshăo ,Adv
遵守,zūnshŏu ,Vst
尊重,zūnzhòng ,Vst
左右,zuŏyòu ,N
左右,zuŏyòu ,V
作,zuò ,V
作家,zuòjiā ,N
作為,zuòwéi ,Vst
作文,zuòwén ,N
作文,zuòwén ,Vi
作用,zuòyòng ,N
做,zuò ,V
做客,zuòkè ,Vi
